地区,year_2018,year_2019,year_2020,year_2021,url
合肥市,8605.1,9370.2,10005.6,11392.8,https://tjj.hefei.gov.cn/tjyw/tjgb/14975099.html
芜湖市,3278.53,3618.26,3753.02,4302.60,http://sjwh.wh.cn/build/index.html?tdsourcetag=s_pcqq_aiomsg#/ndsj
蚌埠市,1714.7,2057.17,2082.73,1988.97,https://tjj.bengbu.gov.cn/tslm/tjgb/9110239.html
淮南市,1133.3,1296.2,1337.2,1457.1,https://tjj.huainan.gov.cn/content/column/15642284?pageIndex=1
马鞍山市,1923.74,2085.64,2102.70,2439.33,https://tjj.mas.gov.cn/tjsj/ndsj/2003087791.html
淮北市,1046.5,1077.9,1119.1,1223.0,https://tj.huaibei.gov.cn/xwzx/tjgb/57082671.html
铜陵市,954.7,950.6,1003.7,1165.6,https://tjj.tl.gov.cn/
安庆市,2196.8,2356.7,2381.5,2656.9,https://tjj.anqing.gov.cn/tjsj/index.html
黄山市,759.52,818.0,850.4,957.4,https://tjj.huangshan.gov.cn/tjnj/8864943.html
滁州市,1801.7,2909.1,3032.1,3362.1,https://tjj.chuzhou.gov.cn/sjfb/index.html
阜阳市,2481.74,2705.0,2805.2,3071.5,https://tjj.fy.gov.cn/content/channel/5c37f7bdc9a5286c0a89697c/
宿州市,1757.82,1978.75,2044.99,2167.67,https://tjj.ahsz.gov.cn/sjsz/tjsj/193268111.html
六安市,1448.5,1616.9,1669.5,1923.5,http://tjj.ah.gov.cn/ssah/qwfbjd/tjgb/sjtjgbao/146668051.html
亳州市,1551.33,1749,1806.01,1972.68,https://www.bozhou.gov.cn/DataRelease/
池州市,684.9,754.3,853.1,1004.2,http://file.chizhou.gov.cn/tjnj/
宣城市,1418.9,1557.4,1591.4,1833.9,https://tjj.xuancheng.gov.cn/News/show/1351865.html
