地区,year_2018,year_2019,year_2020,year_2021
合肥市,8605.1,9370.2,10005.6,11392.8
芜湖市,3278.53,3618.26,3753.02,4302.6
蚌埠市,1714.7,2057.17,2082.73,1988.97
淮南市,1133.3,1296.2,1337.2,1457.1
马鞍山市,1923.74,2085.64,2102.7,2439.33
淮北市,1046.5,1077.9,1119.1,1223.0
铜陵市,954.7,950.6,1003.7,1165.6
安庆市,2196.8,2356.7,2381.5,2656.9
黄山市,759.52,818.0,850.4,957.4
滁州市,1801.7,2909.1,3032.1,3362.1
阜阳市,2481.74,2705.0,2805.2,3071.5
宿州市,1757.82,1978.75,2044.99,2167.67
六安市,1448.5,1616.9,1669.5,1923.5
亳州市,1551.33,1749.0,1806.01,1972.68
池州市,684.9,754.3,853.1,1004.2
宣城市,1418.9,1557.4,1591.4,1833.9
