地区,year_2018,year_2019,year_2020,year_2021,url
合肥市,893,916,937,946.5,https://tjj.hefei.gov.cn/tjyw/tjgb/14975099.html
芜湖市,374.8,377.8,364.4,367.2,http://sjwh.wh.cn/build/index.html?tdsourcetag=s_pcqq_aiomsg#/ndsj
蚌埠市,339.2,341.2,330.0,331.7,https://tjj.bengbu.gov.cn/tslm/tjgb/index.html
淮南市,349.0,349.0,303.4,304.0,https://tjj.huainan.gov.cn/tjsj/tjgb/551624788.html
马鞍山市,228.4,229.1,228.6,215.7,https://tjj.mas.gov.cn/tjsj/ndsj/2003087791.html
淮北市,218.6,218.7,218.8,218.5,https://tj.huaibei.gov.cn/xwzx/tjgb/56600101.html
铜陵市,136.1,133.6,131.0,130.6,https://tjj.tl.gov.cn/3010/202204/t20220425_1849567.html
安庆市,528.44,528.58,527.71,417.1,https://tjj.anqing.gov.cn/tjsj/index.html
黄山市,148.58,148.92,148.85,133.2,https://tjj.huangshan.gov.cn/tjnj/8864943.html
滁州市,453.7,455.3,454.6,454,https://tjj.chuzhou.gov.cn/sjfb/index.html
阜阳市,809,811,820,817.1,https://tjj.fy.gov.cn/content/detail/63847924886688bf328b4568.html
宿州市,656.56,658.27,660.55,660.17,https://tjj.ahsz.gov.cn/sjsz/tjsj/189577421.html
六安市,483.7,487.3,439.4,440.5,https://www.yuan.gov.cn/public/6597061/23134231.html
亳州市,656.8,663.0,668.2,498.6,https://www.bozhou.gov.cn/News/show/582396.html
池州市,146.3,148.5,161.60,160.8,http://file.chizhou.gov.cn/tjnj/
宣城市,251.0,.250.0,250.0,248.7,https://tjj.xuancheng.gov.cn/News/show/1351865.html
