地区,year_2018,year_2019,year_2020,year_2021
合肥市,893.0,916.0,937.0,946.5
芜湖市,374.8,377.8,364.4,367.2
蚌埠市,339.2,341.2,330.0,331.7
淮南市,349.0,349.0,303.4,304.0
马鞍山市,228.4,229.1,228.6,215.7
淮北市,218.6,218.7,218.8,218.5
铜陵市,136.1,133.6,131.0,130.6
安庆市,528.44,528.58,527.71,417.1
黄山市,148.58,148.92,148.85,133.2
滁州市,453.7,455.3,454.6,454.0
阜阳市,809.0,811,820.0,817.1
宿州市,656.56,658.27,660.55,660.17
六安市,483.7,487.3,439.4,440.5
亳州市,656.8,663.0,668.2,498.6
池州市,146.3,148.5,161.6,160.8
宣城市,251.0,250.0,250.0,248.7
